0,29,3.47
1,36,2.539
2,24,2.9385
3,24,3.2236
4,31,0.7633
5,26,1.2566
6,19.01,-0.3456
7,26,1.1117
8,26,1.8703
9,17.29,1.8478
10,27,1.9244
11,24,1.3039
12,31,0.6092
13,26.03,1.7278
14,36,1.9444
15,31,1.5584
16,31.06,2.3226
17,32,2.7461
18,36,1.1622
19,42.01,2.2082
20,60,4.457
21,35,3.7616
22,108.15,4.8502
23,163.07,7.1755
24,73.05,6.3298
25,62,11.9963
26,262,20.8409
27,197,28.2544
28,504.26,45.5755
29,504.76,78.4297
30,506.82,147.1904
31,505,243.5672
32,506.66,407.9824
33,506.25,419.6267
